"Pacific/Midway-Pago_Pago-Samoa","SST11"
"Pacific/Niue","<-11>11"
"Pacific/Norfolk","<+11>-11<+12>,M10.1.0,M4.1.0/3"
"Pacific/Palau","<+09>-9"
"Pacific/Pitcairn","<-08>8"
"Pacific/Rarotonga-Tahiti","<-10>10"
"US/Alaska","AKST9AKDT,M3.2.0,M11.1.0"
"US/Aleutian","HST10HDT,M3.2.0,M11.1.0"
"US/Arizona","MST7"
"US/Central-Indiana-Starke","CST6CDT,M3.2.0,M11.1.0"
"US/East-Indiana-Eastern-Michigan","EST5EDT,M3.2.0,M11.1.0"
"US/Hawaii","HST10"
"US/Mountain","MST7MDT,M3.2.0,M11.1.0"
"US/Pacific","PST8PDT,M3.2.0,M11.1.0"
"US/Samoa","SST11"
"Etc/GMT-GMT-0-GMT0-GMT+0-Greenwich","GMT0"
"Etc/GMT-14","<+14>-14"
"Etc/GMT-13","<+13>-13"
"Etc/GMT-12","<+12>-12"
"Etc/GMT-11","<+11>-11"
"Etc/GMT-10","<+10>-10"
"Etc/GMT-9","<+09>-9"
"Etc/GMT-8","<+08>-8"
"Etc/GMT-7","<+07>-7"
"Etc/GMT-6","<+06>-6"
"Etc/GMT-5","<+05>-5"
"Etc/GMT-4","<+04>-4"
"Etc/GMT-3","<+03>-3"
"Etc/GMT-2","<+02>-2"
"Etc/GMT-1","<+01>-1"
"Etc/GMT+1","<-01>1"
"Etc/GMT+2","<-02>2"
"Etc/GMT+3","<-03>3"
"Etc/GMT+4","<-04>4"
"Etc/GMT+5","<-05>5"
"Etc/GMT+6","<-06>6"
"Etc/GMT+7","<-07>7"
"Etc/GMT+8","<-08>8"
"Etc/GMT+9","<-09>9"
"Etc/GMT+10","<-10>10"
"Etc/GMT+11","<-11>11"
"Etc/GMT+12","<-12>12"
"Etc/UCT-UTC-Universal-Zulu","UTC0"
